Date,"5 YR","7 YR","10 YR","20 YR","30 YR"
01/23/2023,1.33,1.28,1.24,1.32,1.41
01/20/2023,1.33,1.28,1.25,1.33,1.42
01/19/2023,1.27,1.22,1.19,1.27,1.34
01/18/2023,1.34,1.29,1.25,1.32,1.40
01/17/2023,1.42,1.38,1.36,1.42,1.47
01/13/2023,1.40,1.35,1.31,1.37,1.44
01/12/2023,1.32,1.26,1.22,1.27,1.33
01/11/2023,1.45,1.37,1.31,1.35,1.41
01/10/2023,1.52,1.43,1.37,1.41,1.47
01/09/2023,1.48,1.38,1.31,1.35,1.41
01/06/2023,1.51,1.41,1.34,1.37,1.43
01/05/2023,1.68,1.57,1.49,1.50,1.55
01/04/2023,1.64,1.54,1.47,1.51,1.57
01/03/2023,1.65,1.58,1.53,1.56,1.61
